x,y,nx,ny,h,bnd_ident
-0.9,-1.0,0.0,-1.0,0.4,1
-1.0,-0.5,-1.0,0.0,0.4,1
-0.7,-1.0,0.0,-1.0,0.4,1
-0.5,-1.0,0.0,-1.0,0.4,1
-1.0,0.7,-1.0,0.0,0.4,1
-0.3,-1.0,0.0,-1.0,0.4,1
-0.1,-1.0,0.0,-1.0,0.4,1
0.1,-1.0,0.0,-1.0,0.4,1
0.3,-1.0,0.0,-1.0,0.4,1
-1.0,0.5,-1.0,0.0,0.4,1
0.5,-1.0,0.0,-1.0,0.4,1
0.7,-1.0,0.0,-1.0,0.4,1
0.9,-1.0,0.0,-1.0,0.4,1
1.0,-0.9,1.0,0.0,0.4,1
-1.0,-0.7,-1.0,0.0,0.4,1
1.0,-0.7,1.0,0.0,0.4,1
1.0,-0.5,1.0,0.0,0.4,1
-1.0,0.3,-1.0,0.0,0.4,1
1.0,-0.3,1.0,0.0,0.4,1
1.0,-0.1,1.0,0.0,0.4,1
1.0,0.1,1.0,0.0,0.4,1
1.0,0.3,1.0,0.0,0.4,1
-1.0,0.1,-1.0,0.0,0.4,1
1.0,0.5,1.0,0.0,0.4,1
1.0,0.7,1.0,0.0,0.4,1
1.0,0.9,1.0,0.0,0.4,1
0.9,1.0,0.0,1.0,0.4,1
-1.0,-0.1,-1.0,0.0,0.4,1
0.7,1.0,0.0,1.0,0.4,1
0.5,1.0,0.0,1.0,0.4,1
-1.0,-0.3,-1.0,0.0,0.4,1
0.3,1.0,0.0,1.0,0.4,1
0.1,1.0,0.0,1.0,0.4,1
-0.1,1.0,0.0,1.0,0.4,1
-0.3,1.0,0.0,1.0,0.4,1
-1.0,-0.9,-1.0,0.0,0.4,1
-0.5,1.0,0.0,1.0,0.4,1
-0.7,1.0,0.0,1.0,0.4,1
-0.9,1.0,0.0,1.0,0.4,1
-1.0,0.9,-1.0,0.0,0.4,1
0.337857,-0.404056,0.779147,-0.626841,0.4,0
0.418607,-0.252527,-0.108471,-0.9941,0.4,0
0.446233,-0.0175179,-0.999352,-0.0360029,0.4,0
0.464952,0.192215,-0.965673,0.259761,0.4,0
0.158812,0.376352,-0.661712,-0.749758,0.4,0
-0.0406966,0.404718,-0.39364,-0.919265,0.4,0
-0.243813,0.462694,-0.159735,-0.98716,0.4,0
-0.451923,0.265045,0.603406,0.797434,0.4,0
-0.428398,-0.0582053,-0.979609,-0.200916,0.4,0
-0.426287,-0.369033,0.58896,0.808162,0.4,0
-0.350385,-0.522583,0.989826,0.142284,0.4,0
-0.226977,-0.391547,0.999845,-0.0175825,0.4,0
-0.338023,-0.213873,-0.83809,0.545532,0.4,0
-0.832017,-0.7,-0.96025,0.279143,0.4,0
-0.363927,0.10802,0.935922,0.352208,0.4,0
-0.85048,-0.5,-0.928164,0.372172,0.4,0
-0.851705,-0.3,-0.907569,-0.419902,0.4,0
-0.850848,-0.1,-0.99956,0.0296625,0.4,0
-0.862584,0.1,-0.906371,0.422483,0.4,0
-0.273988,0.285241,0.885387,0.464855,0.4,0
-0.820868,0.3,-0.879693,0.475542,0.4,0
-0.868572,0.5,-0.978085,-0.208204,0.4,0
0.31182,0.281543,0.385474,-0.922719,0.4,0
-0.823265,0.7,-0.732061,-0.681239,0.4,0
-0.812173,0.9,-0.741711,0.670719,0.4,0
-0.9,0.846255,-0.473265,0.88092,0.4,0
-0.7,0.852337,0.520668,0.853759,0.4,0
0.311345,0.101668,-0.433791,0.901013,0.4,0
-0.5,0.82558,0.592864,0.805303,0.4,0
-0.3,0.8456,-0.19872,0.980056,0.4,0
-0.1,0.813284,-0.0322362,0.99948,0.4,0
0.1,0.846472,0.14605,0.989277,0.4,0
0.287262,-0.129448,-0.974916,-0.222575,0.4,0
0.3,0.823316,0.155342,0.987861,0.4,0
0.5,0.820679,-0.251526,0.967851,0.4,0
0.228429,-0.261138,-0.876055,0.482211,0.4,0
0.7,0.854488,-0.16098,0.986958,0.4,0
0.0382265,-0.252269,0.154192,0.988041,0.4,0
0.875844,0.876368,0.696529,0.717529,0.4,0
0.820373,0.7,0.999363,0.0357012,0.4,0
0.113679,-0.0888468,-0.0333618,0.999443,0.4,0
0.83506,0.5,0.840196,-0.542283,0.4,0
0.846803,0.3,0.966036,0.258406,0.4,0
0.818979,0.1,0.953533,0.30129,0.4,0
0.851055,-0.1,0.990265,0.139195,0.4,0
0.156665,0.193722,-0.844912,0.534906,0.4,0
0.845216,-0.3,0.991913,0.126921,0.4,0
0.864681,-0.5,0.91138,0.411566,0.4,0
-0.185979,0.128224,0.541262,0.840854,0.4,0
0.870725,-0.7,0.987649,0.156686,0.4,0
-0.158421,-0.225828,0.826993,-0.562212,0.4,0
0.876696,-0.860676,0.529089,-0.848566,0.4,0
0.7,-0.853963,-0.408298,-0.912849,0.4,0
-0.2484,-0.0591266,0.756684,-0.653781,0.4,0
0.5,-0.826374,-0.670992,-0.741465,0.4,0
0.3,-0.824423,0.28947,-0.957187,0.4,0
0.1,-0.826302,0.377026,-0.926203,0.4,0
-0.1,-0.872121,0.00836166,-0.999965,0.4,0
-0.0688405,-0.0717108,0.408368,0.912818,0.4,0
-0.3,-0.845806,0.243813,-0.969822,0.4,0
-0.5,-0.821135,0.619951,-0.784641,0.4,0
-0.0202114,0.227112,0.902528,-0.430631,0.4,0
-0.7,-0.833771,0.339106,-0.940748,0.4,0
-0.871765,-0.866822,-0.700149,-0.713997,0.4,0
-0.61576,-0.699124,-0.836852,-0.54743,0.4,0
-0.39776,-0.695473,-0.999421,-0.0340097,0.4,0
-0.25309,-0.693532,0.856517,0.516118,0.4,0
-0.070909,-0.712754,0.999863,0.0165709,0.4,0
0.199499,-0.698459,0.225088,-0.974338,0.4,0
0.497018,-0.6669,-0.635822,0.771836,0.4,0
0.634654,-0.706896,-0.99473,0.102532,0.4,0
0.733,-0.592421,0.0698963,-0.997554,0.4,0
0.712869,-0.443456,0.969793,-0.243928,0.4,0
0.722146,-0.19584,0.277026,0.960862,0.4,0
0.708446,0.218433,-0.295286,0.955409,0.4,0
0.703584,0.375712,-0.875522,0.483179,0.4,0
0.679723,0.535589,-0.852288,-0.523073,0.4,0
0.615079,0.707788,-0.991027,0.133659,0.4,0
0.356447,0.674357,0.0219393,0.999759,0.4,0
0.162824,0.697648,0.951891,0.306438,0.4,0
0.0199784,0.705616,0.720927,0.693012,0.4,0
-0.220572,0.705087,-0.999319,-0.0368914,0.4,0
-0.376231,0.702657,-0.931324,-0.364193,0.4,0
-0.528997,0.660862,0.403094,-0.915159,0.4,0
-0.706574,0.499231,-0.0102197,-0.999948,0.4,0
-0.659662,0.280993,0.0271121,0.999632,0.4,0
-0.713109,0.159704,0.166104,0.986108,0.4,0
-0.730296,0.00649038,-0.974206,-0.22566,0.4,0
-0.724096,-0.200887,-0.993746,0.111665,0.4,0
-0.710497,-0.3794,-0.121392,-0.992605,0.4,0
-0.707284,-0.56934,-0.170262,-0.985399,0.4,0
-0.529227,-0.542968,-0.994316,0.10647,0.4,0
-0.583215,-0.280864,0.960573,-0.278028,0.4,0
-0.603638,-0.0945127,0.415868,-0.909425,0.4,0
