x,y,nx,ny,h,bnd_ident
0.1125,1.0,0.0,1.0,0.05,1
-0.9875,-1.0,0.0,-1.0,0.05,1
-1.0,-0.6375,-1.0,0.0,0.05,1
-0.9625,-1.0,0.0,-1.0,0.05,1
-0.9375,-1.0,0.0,-1.0,0.05,1
0.0875,1.0,0.0,1.0,0.05,1
-0.9125,-1.0,0.0,-1.0,0.05,1
0.0625,1.0,0.0,1.0,0.05,1
-0.8875,-1.0,0.0,-1.0,0.05,1
-1.0,0.1375,-1.0,0.0,0.05,1
-0.8625,-1.0,0.0,-1.0,0.05,1
0.0375,1.0,0.0,1.0,0.05,1
-0.8375,-1.0,0.0,-1.0,0.05,1
-0.8125,-1.0,0.0,-1.0,0.05,1
-1.0,-0.9625,-1.0,0.0,0.05,1
-0.7875,-1.0,0.0,-1.0,0.05,1
0.0125,1.0,0.0,1.0,0.05,1
-0.7625,-1.0,0.0,-1.0,0.05,1
-0.0125,1.0,0.0,1.0,0.05,1
-0.7375,-1.0,0.0,-1.0,0.05,1
-1.0,0.1125,-1.0,0.0,0.05,1
-0.7125,-1.0,0.0,-1.0,0.05,1
-0.6875,-1.0,0.0,-1.0,0.05,1
-0.0375,1.0,0.0,1.0,0.05,1
-0.6625,-1.0,0.0,-1.0,0.05,1
-0.0625,1.0,0.0,1.0,0.05,1
-0.6375,-1.0,0.0,-1.0,0.05,1
-1.0,-0.6625,-1.0,0.0,0.05,1
-0.6125,-1.0,0.0,-1.0,0.05,1
-0.0875,1.0,0.0,1.0,0.05,1
-0.5875,-1.0,0.0,-1.0,0.05,1
-0.5625,-1.0,0.0,-1.0,0.05,1
-0.1125,1.0,0.0,1.0,0.05,1
-0.5375,-1.0,0.0,-1.0,0.05,1
-0.1375,1.0,0.0,1.0,0.05,1
-0.5125,-1.0,0.0,-1.0,0.05,1
-1.0,0.0875,-1.0,0.0,0.05,1
-0.4875,-1.0,0.0,-1.0,0.05,1
-0.1625,1.0,0.0,1.0,0.05,1
-0.4625,-1.0,0.0,-1.0,0.05,1
-0.4375,-1.0,0.0,-1.0,0.05,1
-0.1875,1.0,0.0,1.0,0.05,1
-0.4125,-1.0,0.0,-1.0,0.05,1
-1.0,0.0625,-1.0,0.0,0.05,1
-0.3875,-1.0,0.0,-1.0,0.05,1
-0.2125,1.0,0.0,1.0,0.05,1
-0.3625,-1.0,0.0,-1.0,0.05,1
-0.2375,1.0,0.0,1.0,0.05,1
-0.3375,-1.0,0.0,-1.0,0.05,1
-0.3125,-1.0,0.0,-1.0,0.05,1
-0.2625,1.0,0.0,1.0,0.05,1
-0.2875,-1.0,0.0,-1.0,0.05,1
-1.0,-0.6875,-1.0,0.0,0.05,1
-0.2625,-1.0,0.0,-1.0,0.05,1
-0.2875,1.0,0.0,1.0,0.05,1
-0.2375,-1.0,0.0,-1.0,0.05,1
-0.3125,1.0,0.0,1.0,0.05,1
-0.2125,-1.0,0.0,-1.0,0.05,1
-0.1875,-1.0,0.0,-1.0,0.05,1
-1.0,0.0375,-1.0,0.0,0.05,1
-0.1625,-1.0,0.0,-1.0,0.05,1
-0.3375,1.0,0.0,1.0,0.05,1
-0.1375,-1.0,0.0,-1.0,0.05,1
-0.3625,1.0,0.0,1.0,0.05,1
-0.1125,-1.0,0.0,-1.0,0.05,1
-0.3875,1.0,0.0,1.0,0.05,1
-0.0875,-1.0,0.0,-1.0,0.05,1
-0.0625,-1.0,0.0,-1.0,0.05,1
-1.0,-0.9125,-1.0,0.0,0.05,1
-0.0375,-1.0,0.0,-1.0,0.05,1
-0.4125,1.0,0.0,1.0,0.05,1
-0.0125,-1.0,0.0,-1.0,0.05,1
0.0125,-1.0,0.0,-1.0,0.05,1
-0.4375,1.0,0.0,1.0,0.05,1
0.0375,-1.0,0.0,-1.0,0.05,1
0.0625,-1.0,0.0,-1.0,0.05,1
-1.0,0.0125,-1.0,0.0,0.05,1
0.0875,-1.0,0.0,-1.0,0.05,1
0.1125,-1.0,0.0,-1.0,0.05,1
0.1375,-1.0,0.0,-1.0,0.05,1
-0.4625,1.0,0.0,1.0,0.05,1
0.1625,-1.0,0.0,-1.0,0.05,1
0.1875,-1.0,0.0,-1.0,0.05,1
-0.4875,1.0,0.0,1.0,0.05,1
0.2125,-1.0,0.0,-1.0,0.05,1
0.2375,-1.0,0.0,-1.0,0.05,1
0.2625,-1.0,0.0,-1.0,0.05,1
-0.5125,1.0,0.0,1.0,0.05,1
0.2875,-1.0,0.0,-1.0,0.05,1
0.3125,-1.0,0.0,-1.0,0.05,1
-1.0,-0.0125,-1.0,0.0,0.05,1
0.3375,-1.0,0.0,-1.0,0.05,1
0.3625,-1.0,0.0,-1.0,0.05,1
0.3875,-1.0,0.0,-1.0,0.05,1
-0.5375,1.0,0.0,1.0,0.05,1
0.4125,-1.0,0.0,-1.0,0.05,1
0.4375,-1.0,0.0,-1.0,0.05,1
-0.5625,1.0,0.0,1.0,0.05,1
0.4625,-1.0,0.0,-1.0,0.05,1
0.4875,-1.0,0.0,-1.0,0.05,1
0.5125,-1.0,0.0,-1.0,0.05,1
-1.0,-0.7125,-1.0,0.0,0.05,1
0.5375,-1.0,0.0,-1.0,0.05,1
0.5625,-1.0,0.0,-1.0,0.05,1
-0.5875,1.0,0.0,1.0,0.05,1
0.5875,-1.0,0.0,-1.0,0.05,1
0.6125,-1.0,0.0,-1.0,0.05,1
