x,y,nx,ny,h,bnd_ident
-0.95,-1.0,0.0,-1.0,0.2,1
-0.85,-1.0,0.0,-1.0,0.2,1
-0.75,1.0,0.0,1.0,0.2,1
-0.75,-1.0,0.0,-1.0,0.2,1
-0.65,-1.0,0.0,-1.0,0.2,1
-0.55,-1.0,0.0,-1.0,0.2,1
-0.45,-1.0,0.0,-1.0,0.2,1
-0.35,-1.0,0.0,-1.0,0.2,1
-0.85,1.0,0.0,1.0,0.2,1
-0.25,-1.0,0.0,-1.0,0.2,1
-0.15,-1.0,0.0,-1.0,0.2,1
-0.05,-1.0,0.0,-1.0,0.2,1
-1.0,-0.45,-1.0,0.0,0.2,1
0.05,-1.0,0.0,-1.0,0.2,1
0.15,-1.0,0.0,-1.0,0.2,1
-0.95,1.0,0.0,1.0,0.2,1
0.25,-1.0,0.0,-1.0,0.2,1
0.35,-1.0,0.0,-1.0,0.2,1
-1.0,0.95,-1.0,0.0,0.2,1
0.45,-1.0,0.0,-1.0,0.2,1
-1.0,0.85,-1.0,0.0,0.2,1
0.55,-1.0,0.0,-1.0,0.2,1
0.65,-1.0,0.0,-1.0,0.2,1
-1.0,-0.85,-1.0,0.0,0.2,1
0.75,-1.0,0.0,-1.0,0.2,1
0.85,-1.0,0.0,-1.0,0.2,1
-1.0,0.75,-1.0,0.0,0.2,1
0.95,-1.0,0.0,-1.0,0.2,1
1.0,-0.95,1.0,0.0,0.2,1
1.0,-0.85,1.0,0.0,0.2,1
-1.0,0.65,-1.0,0.0,0.2,1
1.0,-0.75,1.0,0.0,0.2,1
1.0,-0.65,1.0,0.0,0.2,1
1.0,-0.55,1.0,0.0,0.2,1
1.0,-0.45,1.0,0.0,0.2,1
1.0,-0.35,1.0,0.0,0.2,1
-1.0,0.55,-1.0,0.0,0.2,1
1.0,-0.25,1.0,0.0,0.2,1
1.0,-0.15,1.0,0.0,0.2,1
1.0,-0.05,1.0,0.0,0.2,1
-1.0,0.45,-1.0,0.0,0.2,1
1.0,0.05,1.0,0.0,0.2,1
1.0,0.15,1.0,0.0,0.2,1
-1.0,0.35,-1.0,0.0,0.2,1
1.0,0.25,1.0,0.0,0.2,1
1.0,0.35,1.0,0.0,0.2,1
-1.0,-0.55,-1.0,0.0,0.2,1
1.0,0.45,1.0,0.0,0.2,1
-1.0,0.25,-1.0,0.0,0.2,1
1.0,0.55,1.0,0.0,0.2,1
1.0,0.65,1.0,0.0,0.2,1
-1.0,0.15,-1.0,0.0,0.2,1
1.0,0.75,1.0,0.0,0.2,1
1.0,0.85,1.0,0.0,0.2,1
-1.0,0.05,-1.0,0.0,0.2,1
1.0,0.95,1.0,0.0,0.2,1
0.95,1.0,0.0,1.0,0.2,1
0.85,1.0,0.0,1.0,0.2,1
-1.0,-0.65,-1.0,0.0,0.2,1
0.75,1.0,0.0,1.0,0.2,1
0.65,1.0,0.0,1.0,0.2,1
0.55,1.0,0.0,1.0,0.2,1
0.45,1.0,0.0,1.0,0.2,1
0.35,1.0,0.0,1.0,0.2,1
-1.0,-0.05,-1.0,0.0,0.2,1
0.25,1.0,0.0,1.0,0.2,1
0.15,1.0,0.0,1.0,0.2,1
0.05,1.0,0.0,1.0,0.2,1
-1.0,-0.15,-1.0,0.0,0.2,1
-0.05,1.0,0.0,1.0,0.2,1
-0.15,1.0,0.0,1.0,0.2,1
-1.0,-0.95,-1.0,0.0,0.2,1
-0.25,1.0,0.0,1.0,0.2,1
-0.35,1.0,0.0,1.0,0.2,1
-1.0,-0.25,-1.0,0.0,0.2,1
-0.45,1.0,0.0,1.0,0.2,1
-1.0,-0.35,-1.0,0.0,0.2,1
-0.55,1.0,0.0,1.0,0.2,1
-0.65,1.0,0.0,1.0,0.2,1
-1.0,-0.75,-1.0,0.0,0.2,1
0.158737,-0.355511,0.771749,0.635927,0.2,0
0.34375,0.0502094,0.0703249,0.997524,0.2,0
0.405359,0.392785,-0.814602,0.580021,0.2,0
0.278063,0.356657,0.879424,-0.476039,0.2,0
0.00022906,0.339711,-0.983598,-0.180377,0.2,0
-0.413437,0.320511,-0.498405,0.866944,0.2,0
-0.354579,-0.229338,0.992601,0.121424,0.2,0
-0.364623,-0.325811,0.961823,0.273673,0.2,0
-0.249408,-0.425868,-0.551648,0.834077,0.2,0
-0.167586,0.350093,0.95777,0.287534,0.2,0
0.371862,0.163116,-0.785259,-0.619168,0.2,0
-0.354024,-0.397551,0.532864,0.846201,0.2,0
-0.366852,-0.136564,0.720097,-0.693873,0.2,0
0.438596,0.289346,-0.361868,-0.932229,0.2,0
0.411799,-0.115088,0.18615,-0.982521,0.2,0
-0.418898,0.125788,-0.703793,0.710405,0.2,0
-0.335871,0.160522,0.990061,-0.140637,0.2,0
0.321897,-0.110904,0.786822,-0.61718,0.2,0
0.353849,0.319644,-0.371236,0.928539,0.2,0
-0.276917,-0.133137,0.278861,-0.960332,0.2,0
-0.121387,0.272856,-0.210627,-0.977566,0.2,0
-0.258469,-0.336326,0.299818,0.953997,0.2,0
-0.396522,0.408907,0.984889,-0.173188,0.2,0
0.25333,0.270123,0.745179,-0.666864,0.2,0
0.291684,0.12362,-0.221818,0.975088,0.2,0
0.233544,-0.305472,0.937899,-0.346908,0.2,0
0.0059615,-0.356658,-0.898853,-0.438249,0.2,0
-0.25934,0.0174701,-0.762301,0.647222,0.2,0
0.329666,-0.301834,0.917947,0.396704,0.2,0
-0.3569,-0.0324621,0.318704,-0.947854,0.2,0
0.280145,-0.034859,0.085124,0.99637,0.2,0
0.160944,0.299633,0.0128652,-0.999917,0.2,0
0.328715,-0.211839,0.92195,-0.38731,0.2,0
-0.345517,0.261929,-0.194124,0.980977,0.2,0
-0.919595,-0.85,-0.890055,0.455853,0.2,0
-0.199944,0.0850872,0.336878,0.941548,0.2,0
-0.917255,-0.75,-0.91503,0.403387,0.2,0
-0.909828,-0.65,-0.887449,-0.460906,0.2,0
0.0821782,-0.308793,0.330831,-0.94369,0.2,0
-0.924147,-0.55,-0.999176,0.0405934,0.2,0
0.183607,0.213213,0.325694,-0.945475,0.2,0
-0.913759,-0.45,-0.998939,0.0460447,0.2,0
-0.914209,-0.35,-0.993317,-0.115414,0.2,0
-0.197555,-0.270073,-0.693825,0.720144,0.2,0
-0.916221,-0.25,-0.999676,-0.0254489,0.2,0
-0.917999,-0.15,-0.978294,-0.207222,0.2,0
-0.0947033,0.186902,0.978291,-0.207234,0.2,0
-0.913739,-0.05,-0.982386,0.186862,0.2,0
-0.910295,0.05,-0.855988,0.516996,0.2,0
-0.915305,0.15,-0.991812,-0.127707,0.2,0
0.231898,-0.110358,-0.892534,0.450979,0.2,0
-0.924381,0.25,-0.969117,-0.2466,0.2,0
-0.932518,0.35,-0.99731,-0.0732938,0.2,0
-0.909941,0.45,-0.9872,0.15949,0.2,0
-0.91548,0.55,-0.999738,-0.0228879,0.2,0
-0.911685,0.65,-0.940133,-0.340809,0.2,0
-0.421866,0.215739,-0.997067,0.0765393,0.2,0
-0.926418,0.75,-0.947086,-0.320981,0.2,0
-0.91113,0.85,-0.924312,-0.381638,0.2,0
-0.246902,0.307561,0.9362,0.351469,0.2,0
-0.267282,0.21744,-0.0940746,-0.995565,0.2,0
-0.942468,0.937881,-0.585556,0.810632,0.2,0
-0.85,0.905784,0.377883,0.925853,0.2,0
0.153363,-0.265671,-0.935492,0.353348,0.2,0
-0.75,0.92877,0.520331,0.853965,0.2,0
-0.65,0.909796,-0.519423,0.854517,0.2,0
