x,y,nx,ny,h,bnd_ident
-1.82146e-16,-0.999921,0.0,-1.0,0.05,1
0.999842,0.012565,0.999921,0.012566,0.05,1
-0.999842,-0.012565,-0.999921,-0.012566,0.05,1
0.999211,0.0376872,0.999289,0.0376902,0.05,1
0.925004,-0.379749,0.925077,-0.379779,0.05,1
0.997948,0.0627856,0.998027,0.0627905,0.05,1
-0.999211,-0.0376872,-0.999289,-0.0376902,0.05,1
0.996055,0.0878443,0.996134,0.0878512,0.05,1
0.0251281,-0.999605,0.0251301,-0.999684,0.05,1
0.993533,0.112847,0.993611,0.112856,0.05,1
-0.997948,-0.0627856,-0.998027,-0.0627905,0.05,1
0.990383,0.137779,0.990461,0.13779,0.05,1
0.720252,-0.693599,0.720309,-0.693653,0.05,1
0.986608,0.162624,0.986686,0.162637,0.05,1
-0.996055,-0.0878443,-0.996134,-0.0878512,0.05,1
0.98221,0.187367,0.982287,0.187381,0.05,1
0.0502404,-0.998658,0.0502443,-0.998737,0.05,1
0.977191,0.21199,0.977268,0.212007,0.05,1
-0.993533,-0.112847,-0.993611,-0.112856,0.05,1
0.971555,0.23648,0.971632,0.236499,0.05,1
0.98221,-0.187367,0.982287,-0.187381,0.05,1
0.965305,0.260821,0.965382,0.260842,0.05,1
-0.990383,-0.137779,-0.990461,-0.13779,0.05,1
0.958446,0.284997,0.958522,0.285019,0.05,1
0.0753209,-0.99708,0.0753268,-0.997159,0.05,1
0.950981,0.308993,0.951057,0.309017,0.05,1
-0.986608,-0.162624,-0.986686,-0.162637,0.05,1
0.942916,0.332793,0.942991,0.33282,0.05,1
0.737455,-0.675279,0.737513,-0.675333,0.05,1
0.934255,0.356384,0.934329,0.356412,0.05,1
-0.98221,-0.187367,-0.982287,-0.187381,0.05,1
0.925004,0.379749,0.925077,0.379779,0.05,1
0.100354,-0.994872,0.100362,-0.994951,0.05,1
0.915169,0.402875,0.915241,0.402906,0.05,1
-0.977191,-0.21199,-0.977268,-0.212007,0.05,1
0.904756,0.425746,0.904827,0.425779,0.05,1
0.934255,-0.356384,0.934329,-0.356412,0.05,1
0.893771,0.448348,0.893841,0.448383,0.05,1
