x,y,nx,ny,h,bnd_ident
-0.999684,1.21431e-16,-1.0,0.0,0.1,1
0.999368,0.0251222,0.999684,0.0251301,0.1,1
0.711311,-0.702428,0.711536,-0.70265,0.1,1
0.996844,0.075303,0.997159,0.0753268,0.1,1
-0.998422,-0.0502285,-0.998737,-0.0502443,0.1,1
0.991801,0.125294,0.992115,0.125333,0.1,1
0.0376783,-0.998974,0.0376902,-0.999289,0.1,1
0.984253,0.174968,0.984564,0.175023,0.1,1
-0.994637,-0.10033,-0.994951,-0.100362,0.1,1
0.974219,0.2242,0.974527,0.224271,0.1,1
0.929483,-0.368008,0.929776,-0.368125,0.1,1
0.961724,0.272866,0.962028,0.272952,0.1,1
-0.98834,-0.150178,-0.988652,-0.150226,0.1,1
0.946799,0.320842,0.947098,0.320944,0.1,1
0.0878235,-0.995819,0.0878512,-0.996134,0.1,1
0.929483,0.368008,0.929776,0.368125,0.1,1
-0.979546,-0.199647,-0.979855,-0.19971,0.1,1
0.909819,0.414245,0.910106,0.414376,0.1,1
0.745706,-0.665802,0.745941,-0.666012,0.1,1
0.887856,0.459435,0.888136,0.45958,0.1,1
-0.968277,-0.248611,-0.968583,-0.24869,0.1,1
0.863651,0.503464,0.863923,0.503623,0.1,1
0.137747,-0.990149,0.13779,-0.990461,0.1,1
0.837264,0.546222,0.837528,0.546394,0.1,1
-0.954563,-0.296948,-0.954865,-0.297042,0.1,1
0.808761,0.5876,0.809017,0.587785,0.1,1
0.984253,-0.174968,0.984564,-0.175023,0.1,1
0.778216,0.627493,0.778462,0.627691,0.1,1
-0.938437,-0.344534,-0.938734,-0.344643,0.1,1
0.745706,0.665802,0.745941,0.666012,0.1,1
0.187322,-0.981977,0.187381,-0.982287,0.1,1
0.711311,0.702428,0.711536,0.70265,0.1,1
-0.919941,-0.39125,-0.920232,-0.391374,0.1,1
0.67512,0.73728,0.675333,0.737513,0.1,1
0.778216,-0.627493,0.778462,-0.627691,0.1,1
0.637223,0.77027,0.637424,0.770513,0.1,1
-0.899121,-0.436978,-0.899405,-0.437116,0.1,1
0.597716,0.801314,0.597905,0.801567,0.1,1
0.236424,-0.971325,0.236499,-0.971632,0.1,1
0.5567,0.830334,0.556876,0.830596,0.1,1
-0.87603,-0.481602,-0.876307,-0.481754,0.1,1
0.514277,0.857256,0.51444,0.857527,0.1,1
0.946799,-0.320842,0.947098,-0.320944,0.1,1
0.470555,0.882013,0.470704,0.882291,0.1,1
-0.850726,-0.525009,-0.850994,-0.525175,0.1,1
0.425645,0.904541,0.425779,0.904827,0.1,1
0.284929,-0.958219,0.285019,-0.958522,0.1,1
0.379659,0.924785,0.379779,0.925077,0.1,1
-0.823273,-0.56709,-0.823533,-0.567269,0.1,1
0.332714,0.942693,0.33282,0.942991,0.1,1
0.808761,-0.5876,0.809017,-0.587785,0.1,1
0.284929,0.958219,0.285019,0.958522,0.1,1
-0.79374,-0.607738,-0.79399,-0.60793,0.1,1
0.236424,0.971325,0.236499,0.971632,0.1,1
0.332714,-0.942693,0.33282,-0.942991,0.1,1
0.187322,0.981977,0.187381,0.982287,0.1,1
-0.762202,-0.646852,-0.762443,-0.647056,0.1,1
0.137747,0.990149,0.13779,0.990461,0.1,1
0.996844,-0.075303,0.997159,-0.0753268,0.1,1
0.0878235,0.995819,0.0878512,0.996134,0.1,1
-0.728738,-0.684331,-0.728969,-0.684547,0.1,1
0.0376783,0.998974,0.0376902,0.999289,0.1,1
0.379659,-0.924785,0.379779,-0.925077,0.1,1
-0.0125621,0.999605,-0.012566,0.999921,0.1,1
-0.693434,-0.720082,-0.693653,-0.720309,0.1,1
-0.0627707,0.997712,-0.0627905,0.998027,0.1,1
0.837264,-0.546222,0.837528,-0.546394,0.1,1
-0.112821,0.993298,-0.112856,0.993611,0.1,1
-0.656378,-0.754013,-0.656586,-0.754251,0.1,1
