x,y,nx,ny,h,bnd_ident
-1.0,0.325,-1.0,0.0,0.1,1
-0.975,-1.0,0.0,-1.0,0.1,1
-0.925,-1.0,0.0,-1.0,0.1,1
0.225,1.0,0.0,1.0,0.1,1
-0.875,-1.0,0.0,-1.0,0.1,1
-0.825,-1.0,0.0,-1.0,0.1,1
0.175,1.0,0.0,1.0,0.1,1
-0.775,-1.0,0.0,-1.0,0.1,1
-1.0,-0.975,-1.0,0.0,0.1,1
-0.725,-1.0,0.0,-1.0,0.1,1
-0.675,-1.0,0.0,-1.0,0.1,1
0.125,1.0,0.0,1.0,0.1,1
-0.625,-1.0,0.0,-1.0,0.1,1
-0.575,-1.0,0.0,-1.0,0.1,1
0.075,1.0,0.0,1.0,0.1,1
-0.525,-1.0,0.0,-1.0,0.1,1
-1.0,0.275,-1.0,0.0,0.1,1
-0.475,-1.0,0.0,-1.0,0.1,1
-0.425,-1.0,0.0,-1.0,0.1,1
0.025,1.0,0.0,1.0,0.1,1
-0.375,-1.0,0.0,-1.0,0.1,1
-0.325,-1.0,0.0,-1.0,0.1,1
-1.0,-0.475,-1.0,0.0,0.1,1
-0.275,-1.0,0.0,-1.0,0.1,1
-0.025,1.0,0.0,1.0,0.1,1
-0.225,-1.0,0.0,-1.0,0.1,1
-0.175,-1.0,0.0,-1.0,0.1,1
-1.0,0.225,-1.0,0.0,0.1,1
-0.125,-1.0,0.0,-1.0,0.1,1
-0.075,-1.0,0.0,-1.0,0.1,1
-0.075,1.0,0.0,1.0,0.1,1
-0.025,-1.0,0.0,-1.0,0.1,1
-0.125,1.0,0.0,1.0,0.1,1
0.025,-1.0,0.0,-1.0,0.1,1
-1.0,0.175,-1.0,0.0,0.1,1
0.075,-1.0,0.0,-1.0,0.1,1
0.125,-1.0,0.0,-1.0,0.1,1
-0.175,1.0,0.0,1.0,0.1,1
0.175,-1.0,0.0,-1.0,0.1,1
-1.0,-0.775,-1.0,0.0,0.1,1
0.225,-1.0,0.0,-1.0,0.1,1
-0.225,1.0,0.0,1.0,0.1,1
0.275,-1.0,0.0,-1.0,0.1,1
-1.0,0.125,-1.0,0.0,0.1,1
0.325,-1.0,0.0,-1.0,0.1,1
0.375,-1.0,0.0,-1.0,0.1,1
-0.275,1.0,0.0,1.0,0.1,1
0.425,-1.0,0.0,-1.0,0.1,1
-1.0,0.075,-1.0,0.0,0.1,1
0.475,-1.0,0.0,-1.0,0.1,1
-0.325,1.0,0.0,1.0,0.1,1
0.525,-1.0,0.0,-1.0,0.1,1
-0.375,1.0,0.0,1.0,0.1,1
0.575,-1.0,0.0,-1.0,0.1,1
0.625,-1.0,0.0,-1.0,0.1,1
-1.0,-0.525,-1.0,0.0,0.1,1
0.675,-1.0,0.0,-1.0,0.1,1
-0.425,1.0,0.0,1.0,0.1,1
0.725,-1.0,0.0,-1.0,0.1,1
-1.0,0.025,-1.0,0.0,0.1,1
